order_id,order_date,customer_id,category,product,region,city,channel,quantity,unit_price,discount,gross_sales,revenue,cost,payment_method,order_status,profit,profit_margin,month,year,quarter,is_completed,is_returned,is_cancelled
ORD000001,2024-02-13,CUST00593,Electronics,Wireless Headphones,East,Bhubaneswar,Website,4,17642.78,0.2,70571.12,56456.89,32561.68,Credit Card,Delivered,23895.21,0.4232,2024-02,2024,Q1,1,0,0
ORD000002,2024-11-26,CUST01205,Sports,Football,West,Ahmedabad,Website,1,5868.32,0.1,5868.32,5281.49,3318.99,Debit Card,Delivered,1962.5,0.3716,2024-11,2024,Q4,1,0,0
ORD000003,2025-03-30,CUST00021,Fashion,Running Shoes,West,Pune,Website,3,2198.94,0.0,6596.82,6596.82,4686.1,Debit Card,Delivered,1910.72,0.2896,2025-03,2025,Q1,1,0,0
ORD000004,2024-10-16,CUST00971,Electronics,Laptop Stand,West,Ahmedabad,Website,2,20893.85,0.1,41787.7,37608.93,24764.88,Credit Card,Cancelled,12844.05,0.3415,2024-10,2024,Q4,0,0,1
ORD000005,2024-02-27,CUST01122,Fashion,T-Shirt,South,Bengaluru,Mobile App,3,2864.17,0.1,8592.52,7733.27,4488.78,Credit Card,Delivered,3244.49,0.4195,2024-02,2024,Q1,1,0,0
ORD000006,2025-02-10,CUST00792,Fashion,Running Shoes,South,Chennai,Mobile App,5,3813.32,0.1,19066.62,17159.96,11209.0,Debit Card,Delivered,5950.96,0.3468,2025-02,2025,Q1,1,0,0
ORD000007,2024-06-15,CUST00150,Fashion,Backpack,East,Kolkata,Website,1,5446.63,0.0,5446.63,5446.63,3456.62,Net Banking,Delivered,1990.01,0.3654,2024-06,2024,Q2,1,0,0
ORD000008,2024-10-11,CUST01534,Fashion,Backpack,West,Pune,Website,5,3528.86,0.0,17644.32,17644.32,14522.33,Net Banking,Delivered,3121.99,0.1769,2024-10,2024,Q4,1,0,0
ORD000009,2024-02-17,CUST00149,Home & Kitchen,Air Fryer,East,Patna,Marketplace,2,6241.0,0.1,12482.0,11233.8,8003.43,UPI,Delivered,3230.37,0.2876,2024-02,2024,Q1,1,0,0
ORD000010,2024-05-13,CUST01261,Sports,Yoga Mat,Central,Bhopal,Mobile App,3,4787.45,0.1,14362.34,12926.11,10515.7,Cash on Delivery,Delivered,2410.41,0.1865,2024-05,2024,Q2,1,0,0
