cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024-01,190.0,23.0,22.0,29.0,22.0,40.0,24.0,19.0,26.0,31.0,25.0,30.0,26.0,15.0,21.0,25.0,30.0,25.0
2024-02,180.0,21.0,17.0,25.0,28.0,21.0,25.0,19.0,24.0,22.0,20.0,30.0,22.0,22.0,28.0,16.0,19.0,
2024-03,166.0,21.0,14.0,22.0,17.0,19.0,20.0,23.0,19.0,16.0,26.0,23.0,27.0,21.0,23.0,25.0,,
2024-04,135.0,22.0,21.0,23.0,12.0,18.0,16.0,18.0,15.0,11.0,16.0,20.0,14.0,17.0,17.0,,,
2024-05,120.0,16.0,16.0,15.0,14.0,13.0,14.0,17.0,9.0,19.0,13.0,15.0,16.0,13.0,,,,
2024-06,91.0,12.0,13.0,12.0,14.0,10.0,13.0,13.0,9.0,8.0,16.0,10.0,14.0,,,,,
2024-07,96.0,18.0,9.0,15.0,10.0,12.0,4.0,15.0,10.0,17.0,14.0,9.0,,,,,,
2024-08,82.0,9.0,9.0,8.0,15.0,8.0,10.0,7.0,10.0,14.0,5.0,,,,,,,
2024-09,66.0,8.0,14.0,8.0,10.0,9.0,12.0,11.0,7.0,13.0,,,,,,,,
2024-10,63.0,9.0,5.0,11.0,3.0,3.0,8.0,12.0,10.0,,,,,,,,,
2024-11,49.0,4.0,7.0,10.0,9.0,7.0,5.0,5.0,,,,,,,,,,
2024-12,50.0,8.0,2.0,9.0,6.0,10.0,8.0,,,,,,,,,,,
2025-01,43.0,7.0,3.0,4.0,7.0,2.0,,,,,,,,,,,,
2025-02,30.0,6.0,4.0,6.0,4.0,,,,,,,,,,,,,
2025-03,33.0,7.0,3.0,3.0,,,,,,,,,,,,,,
2025-04,26.0,3.0,4.0,,,,,,,,,,,,,,,
2025-05,23.0,2.0,,,,,,,,,,,,,,,,
2025-06,16.0,,,,,,,,,,,,,,,,,
