cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024-01,100.0,12.11,11.58,15.26,11.58,21.05,12.63,10.0,13.68,16.32,13.16,15.79,13.68,7.89,11.05,13.16,15.79,13.16
2024-02,100.0,11.67,9.44,13.89,15.56,11.67,13.89,10.56,13.33,12.22,11.11,16.67,12.22,12.22,15.56,8.89,10.56,
2024-03,100.0,12.65,8.43,13.25,10.24,11.45,12.05,13.86,11.45,9.64,15.66,13.86,16.27,12.65,13.86,15.06,,
2024-04,100.0,16.3,15.56,17.04,8.89,13.33,11.85,13.33,11.11,8.15,11.85,14.81,10.37,12.59,12.59,,,
2024-05,100.0,13.33,13.33,12.5,11.67,10.83,11.67,14.17,7.5,15.83,10.83,12.5,13.33,10.83,,,,
2024-06,100.0,13.19,14.29,13.19,15.38,10.99,14.29,14.29,9.89,8.79,17.58,10.99,15.38,,,,,
2024-07,100.0,18.75,9.38,15.62,10.42,12.5,4.17,15.62,10.42,17.71,14.58,9.38,,,,,,
2024-08,100.0,10.98,10.98,9.76,18.29,9.76,12.2,8.54,12.2,17.07,6.1,,,,,,,
2024-09,100.0,12.12,21.21,12.12,15.15,13.64,18.18,16.67,10.61,19.7,,,,,,,,
2024-10,100.0,14.29,7.94,17.46,4.76,4.76,12.7,19.05,15.87,,,,,,,,,
2024-11,100.0,8.16,14.29,20.41,18.37,14.29,10.2,10.2,,,,,,,,,,
2024-12,100.0,16.0,4.0,18.0,12.0,20.0,16.0,,,,,,,,,,,
2025-01,100.0,16.28,6.98,9.3,16.28,4.65,,,,,,,,,,,,
2025-02,100.0,20.0,13.33,20.0,13.33,,,,,,,,,,,,,
2025-03,100.0,21.21,9.09,9.09,,,,,,,,,,,,,,
2025-04,100.0,11.54,15.38,,,,,,,,,,,,,,,
2025-05,100.0,8.7,,,,,,,,,,,,,,,,
2025-06,100.0,,,,,,,,,,,,,,,,,
