customer_id,total_revenue,total_profit,total_orders,total_quantity,first_order,last_order,lifetime_days,lifetime_months,avg_order_value,purchase_frequency,profit_margin,estimated_clv
CUST01451,115504.17,34888.61,2,8,2024-07-03,2024-07-05,2,0.07,57752.09,28.57,30.21,498408.71
CUST00456,81665.92,17997.27,2,5,2024-04-21,2024-04-23,2,0.07,40832.96,28.57,22.04,257103.86
CUST01444,96177.4,36127.95,2,9,2024-01-17,2024-01-23,6,0.2,48088.7,10.0,37.56,180639.75
CUST00837,67349.74,24801.17,2,8,2024-12-06,2024-12-11,5,0.16,33674.87,12.5,36.82,155007.31
CUST00046,57807.66,21027.48,2,6,2025-05-15,2025-05-20,5,0.16,28903.83,12.5,36.37,131421.75
CUST00684,102647.9,37765.12,2,7,2024-12-09,2024-12-18,9,0.3,51323.95,6.67,36.79,125883.73
CUST01326,26432.99,9216.63,2,10,2025-01-27,2025-01-30,3,0.1,13216.5,20.0,34.87,92166.3
CUST00089,19599.32,5723.28,2,10,2025-04-02,2025-04-05,3,0.1,9799.66,20.0,29.2,57232.8
CUST00392,102541.85,47498.57,1,5,2024-03-26,2024-03-26,0,0.0,102541.85,1.0,46.32,47498.57
CUST00648,85587.76,31230.34,2,10,2024-03-23,2024-04-13,21,0.69,42793.88,2.9,36.49,45261.36
CUST00629,52532.63,13435.86,2,10,2025-01-10,2025-01-19,9,0.3,26266.32,6.67,25.58,44786.2
CUST01228,26917.6,10629.12,2,8,2024-09-09,2024-09-18,9,0.3,13458.8,6.67,39.49,35430.4
CUST01014,20816.56,7885.99,2,4,2025-04-30,2025-05-07,7,0.23,10408.28,8.7,37.88,34286.91
CUST01509,68178.78,28362.1,3,5,2024-11-17,2024-12-13,26,0.85,22726.26,3.53,41.6,33367.18
CUST00535,42744.78,17302.64,2,4,2024-04-04,2024-04-21,17,0.56,21372.39,3.57,40.48,30897.57
CUST01506,55608.74,21648.98,2,5,2024-09-26,2024-10-18,22,0.72,27804.37,2.78,38.93,30068.03
CUST00738,61949.86,28735.52,1,3,2024-12-12,2024-12-12,0,0.0,61949.86,1.0,46.39,28735.52
CUST00897,57291.82,27188.52,1,3,2024-01-31,2024-01-31,0,0.0,57291.82,1.0,47.46,27188.52
CUST00447,60715.29,12488.53,2,6,2024-03-14,2024-03-28,14,0.46,30357.64,4.35,20.57,27148.98
CUST00379,15649.29,4241.31,2,4,2025-04-09,2025-04-14,5,0.16,7824.64,12.5,27.1,26508.19
CUST00566,34955.47,8641.08,2,2,2025-05-10,2025-05-20,10,0.33,17477.74,6.06,24.72,26185.09
CUST01592,77660.04,25925.89,1,5,2025-05-22,2025-05-22,0,0.0,77660.04,1.0,33.38,25925.89
CUST00325,55188.15,25224.24,1,4,2024-10-25,2024-10-25,0,0.0,55188.15,1.0,45.71,25224.24
CUST01589,79618.15,24357.79,1,5,2024-11-09,2024-11-09,0,0.0,79618.15,1.0,30.59,24357.79
CUST01546,63461.86,19880.99,2,5,2025-05-13,2025-06-07,25,0.82,31730.93,2.44,31.33,24245.11
CUST00593,56456.89,23895.21,1,4,2024-02-13,2024-02-13,0,0.0,56456.89,1.0,42.32,23895.21
CUST01434,60917.91,21093.74,2,8,2024-07-06,2024-08-03,28,0.92,30458.96,2.17,34.63,22927.98
CUST00681,89929.89,35674.48,2,8,2024-11-10,2024-12-28,48,1.58,44964.94,1.27,39.67,22578.78
CUST00529,79932.1,30730.95,2,8,2024-04-29,2024-06-10,42,1.38,39966.05,1.45,38.45,22268.8
CUST01167,52487.99,22058.28,1,4,2025-06-01,2025-06-01,0,0.0,52487.99,1.0,42.03,22058.28
CUST00248,45854.57,21357.84,1,3,2025-06-29,2025-06-29,0,0.0,45854.57,1.0,46.58,21357.84
CUST00826,66532.34,20700.23,1,5,2024-03-17,2024-03-17,0,0.0,66532.34,1.0,31.11,20700.23
CUST00769,48080.01,20463.16,1,5,2024-11-27,2024-11-27,0,0.0,48080.01,1.0,42.56,20463.16
CUST01519,58532.09,19540.47,1,5,2024-01-14,2024-01-14,0,0.0,58532.09,1.0,33.38,19540.47
CUST01123,82807.69,18748.06,1,5,2024-06-30,2024-06-30,0,0.0,82807.69,1.0,22.64,18748.06
CUST00251,20553.35,8026.64,2,4,2024-01-22,2024-02-04,13,0.43,10276.67,4.65,39.05,18666.6
CUST00685,39151.31,18321.45,1,2,2024-08-10,2024-08-10,0,0.0,39151.31,1.0,46.8,18321.45
CUST00913,39846.1,18153.94,1,2,2024-08-06,2024-08-06,0,0.0,39846.1,1.0,45.56,18153.94
CUST00065,69744.18,24863.72,2,5,2024-05-14,2024-06-25,42,1.38,34872.09,1.45,35.65,18017.19
CUST00598,91250.07,26532.24,2,9,2024-09-20,2024-11-04,45,1.48,45625.04,1.35,29.08,17927.19
CUST01041,27668.32,12272.63,2,5,2024-02-01,2024-02-22,21,0.69,13834.16,2.9,44.36,17786.42
CUST00689,107416.05,44399.54,2,9,2024-10-23,2025-01-09,78,2.56,53708.02,0.78,41.33,17343.57
CUST00958,56400.61,16774.0,1,3,2024-03-08,2024-03-08,0,0.0,56400.61,1.0,29.74,16774.0
CUST01218,32425.42,9333.94,2,8,2025-01-18,2025-02-04,17,0.56,16212.71,3.57,28.79,16667.75
