month,revenue,profit,orders,units,profit_margin
2024-01,2978036.86,994852.85,202,619,0.3340633097469452
2024-02,3029040.66,977543.88,216,659,0.32272392144118656
2024-03,3727461.9,1211809.29,222,655,0.32510306543978357
2024-04,3322278.02,1057875.29,218,674,0.31841865239201145
2024-05,3306907.2,1070703.57,214,597,0.3237779306295623
2024-06,3797559.38,1191809.8900000001,236,721,0.31383574836952255
2024-07,3539231.35,1121288.54,225,660,0.31681696648624
2024-08,3798415.18,1217629.22,214,644,0.3205624351996192
2024-09,2823604.61,903910.4,200,566,0.32012640750009264
2024-10,3220878.74,1047543.78,227,661,0.32523539833728726
2024-11,3343450.96,1095570.39,203,618,0.3276765243776747
2024-12,3889647.04,1314226.1199999999,224,638,0.33787798905270333
2025-01,3024356.94,981483.27,221,669,0.3245262677228833
2025-02,3150655.88,1024651.67,202,602,0.32521852878455265
2025-03,3309016.62,1065723.82,216,671,0.3220666265496122
2025-04,3152525.42,1054996.43,234,674,0.3346512048109036
2025-05,3608561.48,1178279.28,231,673,0.3265232659968426
2025-06,2965666.79,925900.95,211,613,0.3122066690438948
