product,revenue,profit,orders,units,avg_order_value,profit_margin
Laptop Stand,7698439.05,2486359.81,244,751,31550.97971311475,0.32296934402565675
Power Bank,6850870.92,2231936.93,230,679,29786.395304347825,0.32578878744952333
Bluetooth Speaker,6791871.2299999995,2236072.86,235,657,28901.579702127663,0.32922780545708313
Wireless Headphones,6676139.4,2239190.05,217,634,30765.619354838713,0.33540193154145337
Smartwatch,6464229.83,2101287.49,208,606,31078.028028846154,0.3250638583807903
Storage Box,2314382.42,727879.61,171,503,13534.400116959065,0.3145027389207355
Coffee Maker,2194598.95,707403.36,150,470,14630.659666666668,0.3223383297435734
Water Bottle,2157567.37,646992.26,161,493,13401.039565217392,0.2998711738952559
Air Fryer,2102469.79,678384.06,150,434,14016.46526666667,0.32266055057085985
Mixer Grinder,2094723.43,685215.6900000001,153,438,13691.002810457516,0.3271151122800016
T-Shirt,1729970.75,542273.35,222,669,7792.661036036036,0.3134581032656188
Sunglasses,1502483.55,484929.97000000003,179,534,8393.762849162013,0.3227522657402805
Denim Jacket,1500112.91,504490.04,184,548,8152.787554347827,0.3363013788075459
Running Shoes,1480294.08,469151.21,172,550,8606.360930232559,0.3169310857475023
Backpack,1431650.88,459275.22,196,593,7304.341224489795,0.32080112995145854
Resistance Bands,1015355.72,350628.9,104,323,9763.03576923077,0.3453261680546794
Yoga Mat,981492.0599999999,288153.9,99,287,9914.06121212121,0.29358760171732823
Cricket Bat,935480.96,301071.61,101,283,9262.187722772276,0.3218361707757259
Dumbbells,869580.73,267137.06,85,266,10230.361529411766,0.3072021386674472
Football,858867.66,281041.32,86,245,9986.833255813954,0.3272230788151925
Face Serum,558629.27,180332.1,126,355,4433.565634920635,0.32281176387338245
Moisturizer,522707.62,162410.8,129,358,4051.997054263566,0.31071060337708484
Lip Balm,465440.0,147940.28,110,332,4231.272727272727,0.31785037813681677
Shampoo,425460.58,138590.73,111,332,3832.9781981981987,0.3257428220494599
Sunscreen,364475.87,117650.03,93,274,3919.095376344086,0.32279237031521457
