customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
CUST00001,209,1,42295.37,2,1,4,7,Potential Loyalists
CUST00002,63,2,8886.97,4,2,1,7,Potential Loyalists
CUST00003,222,4,97133.90000000001,2,4,5,11,Loyal Customers
CUST00004,221,2,59992.7,2,2,4,8,Potential Loyalists
CUST00005,247,4,57541.44,2,4,4,10,Loyal Customers
CUST00006,378,2,12964.9,1,2,2,5,At Risk
CUST00007,20,3,51458.17,5,3,4,12,Loyal Customers
CUST00008,30,4,42667.83,5,4,4,13,Champions
CUST00009,9,2,15624.61,5,2,2,9,Potential Loyalists
CUST00010,8,4,65565.31,5,4,4,13,Champions
CUST00011,97,3,10257.93,4,3,1,8,Potential Loyalists
CUST00012,211,2,48430.659999999996,2,2,4,8,Potential Loyalists
CUST00013,122,3,44362.67,3,3,4,10,Loyal Customers
CUST00014,211,2,26300.6,2,2,3,7,Potential Loyalists
CUST00016,75,3,14083.84,4,3,2,9,Potential Loyalists
CUST00017,138,2,38845.08,3,2,3,8,Potential Loyalists
CUST00018,48,3,23285.08,5,3,2,10,Loyal Customers
CUST00019,114,1,4606.09,3,1,1,5,At Risk
CUST00020,227,3,19280.02,2,3,2,7,Potential Loyalists
CUST00021,93,2,16497.260000000002,4,2,2,8,Potential Loyalists
CUST00022,218,1,611.13,2,1,1,4,Needs Attention
CUST00023,441,2,26672.800000000003,1,2,3,6,At Risk
CUST00024,178,4,28407.35,2,4,3,9,Potential Loyalists
CUST00025,413,2,10802.82,1,2,1,4,Needs Attention
CUST00026,453,1,2126.1,1,1,1,3,Needs Attention
CUST00027,363,2,24286.4,1,2,2,5,At Risk
CUST00028,399,2,27518.910000000003,1,2,3,6,At Risk
CUST00029,29,3,126837.6,5,3,5,13,Champions
CUST00030,88,2,34862.78,4,2,3,9,Potential Loyalists
CUST00031,270,1,2876.06,2,1,1,4,Needs Attention
CUST00032,37,4,37217.68,5,4,3,12,Loyal Customers
CUST00033,177,1,1966.24,3,1,1,5,At Risk
CUST00034,51,4,31734.36,4,4,3,11,Loyal Customers
CUST00035,38,3,46202.87,5,3,4,12,Loyal Customers
CUST00036,71,5,63736.79000000001,4,5,4,13,Champions
CUST00037,62,4,108047.81999999999,4,4,5,13,Champions
CUST00038,116,3,50701.21,3,3,4,10,Loyal Customers
CUST00039,220,5,44870.17,2,5,4,11,Loyal Customers
CUST00040,93,2,22893.39,4,2,2,8,Potential Loyalists
CUST00041,88,3,34984.18,4,3,3,10,Loyal Customers
CUST00042,358,2,10848.849999999999,1,2,1,4,Needs Attention
CUST00043,18,2,37032.71,5,2,3,10,Loyal Customers
CUST00044,6,4,80250.34,5,4,5,14,Champions
CUST00045,10,2,64755.99,5,2,4,11,Loyal Customers
CUST00046,42,2,57807.659999999996,5,2,4,11,Loyal Customers
CUST00047,120,3,29182.6,3,3,3,9,Potential Loyalists
CUST00048,251,1,2771.95,2,1,1,4,Needs Attention
CUST00049,494,2,27058.35,1,2,3,6,At Risk
CUST00050,382,2,10660.88,1,2,1,4,Needs Attention
CUST00051,262,4,87658.01000000001,2,4,5,11,Loyal Customers
CUST00052,76,2,13018.900000000001,4,2,2,8,Potential Loyalists
CUST00053,47,3,61305.3,5,3,4,12,Loyal Customers
CUST00054,52,3,23347.82,4,3,2,9,Potential Loyalists
CUST00055,46,6,154609.75,5,5,5,15,Champions
CUST00056,109,3,22106.41,3,3,2,8,Potential Loyalists
CUST00057,531,1,10866.17,1,1,1,3,Needs Attention
CUST00058,11,3,13649.289999999999,5,3,2,10,Loyal Customers
CUST00059,252,1,38364.26,2,1,3,6,At Risk
CUST00060,146,1,19346.43,3,1,2,6,At Risk
CUST00061,115,2,19842.44,3,2,2,7,Potential Loyalists
CUST00062,79,1,6576.01,4,1,1,6,At Risk
CUST00063,210,2,11637.95,2,2,2,6,At Risk
CUST00064,201,2,37857.44,2,2,3,7,Potential Loyalists
CUST00065,371,2,69744.18000000001,1,2,5,8,Potential Loyalists
CUST00066,397,2,20288.15,1,2,2,5,At Risk
CUST00067,326,1,14376.31,1,1,2,4,Needs Attention
CUST00069,377,3,32111.699999999997,1,3,3,7,Potential Loyalists
CUST00070,60,3,39473.95,4,3,3,10,Loyal Customers
CUST00071,174,2,33013.11,3,2,3,8,Potential Loyalists
CUST00072,313,3,11389.939999999999,1,3,2,6,At Risk
CUST00073,301,4,69650.23000000001,1,4,5,10,Loyal Customers
CUST00074,15,1,13063.95,5,1,2,8,Potential Loyalists
CUST00075,45,3,25703.9,5,3,3,11,Loyal Customers
CUST00076,193,2,20298.75,2,2,2,6,At Risk
CUST00077,24,7,64391.200000000004,5,5,4,14,Champions
CUST00078,381,2,11394.57,1,2,2,5,At Risk
CUST00079,59,3,47882.44,4,3,4,11,Loyal Customers
CUST00080,57,3,70818.58,4,3,5,12,Loyal Customers
CUST00081,481,1,637.0,1,1,1,3,Needs Attention
CUST00082,34,2,18994.78,5,2,2,9,Potential Loyalists
CUST00083,142,3,41823.33,3,3,4,10,Loyal Customers
CUST00084,61,1,23112.61,4,1,2,7,Potential Loyalists
CUST00085,135,3,72544.9,3,3,5,11,Loyal Customers
CUST00086,288,2,10764.58,2,2,1,5,At Risk
CUST00087,77,3,52295.94,4,3,4,11,Loyal Customers
CUST00088,338,2,11157.23,1,2,1,4,Needs Attention
CUST00089,87,2,19599.32,4,2,2,8,Potential Loyalists
CUST00090,457,2,6873.6,1,2,1,4,Needs Attention
CUST00091,452,1,4894.12,1,1,1,3,Needs Attention
CUST00092,108,3,29673.53,3,3,3,9,Potential Loyalists
CUST00093,323,3,75282.18,1,3,5,9,Potential Loyalists
CUST00094,44,2,12283.44,5,2,2,9,Potential Loyalists
CUST00095,374,3,59455.14,1,3,4,8,Potential Loyalists
CUST00096,314,2,18232.989999999998,1,2,2,5,At Risk
CUST00097,116,6,161744.52000000002,3,5,5,13,Champions
CUST00098,72,1,10207.53,4,1,1,6,At Risk
CUST00099,345,1,23507.24,1,1,2,4,Needs Attention
CUST00100,157,5,84393.72,3,5,5,13,Champions
CUST00102,33,3,22931.230000000003,5,3,2,10,Loyal Customers
CUST00103,24,5,118585.18,5,5,5,15,Champions
CUST00104,144,1,17098.7,3,1,2,6,At Risk
CUST00106,2,5,74651.61,5,5,5,15,Champions
CUST00108,104,4,130406.83,3,4,5,12,Loyal Customers
CUST00109,30,1,8649.01,5,1,1,7,Potential Loyalists
CUST00111,412,2,14141.130000000001,1,2,2,5,At Risk
CUST00112,102,3,19137.61,3,3,2,8,Potential Loyalists
CUST00113,73,4,55871.07,4,4,4,12,Loyal Customers
CUST00114,385,2,25298.64,1,2,3,6,At Risk
CUST00115,200,3,34677.8,2,3,3,8,Potential Loyalists
CUST00116,113,1,19052.79,3,1,2,6,At Risk
CUST00117,48,6,83311.9,5,5,5,15,Champions
CUST00118,322,2,32785.64,1,2,3,6,At Risk
CUST00119,183,1,18697.52,2,1,2,5,At Risk
CUST00120,8,1,4962.61,5,1,1,7,Potential Loyalists
CUST00121,466,1,4395.97,1,1,1,3,Needs Attention
CUST00122,160,2,49658.53,3,2,4,9,Potential Loyalists
CUST00123,11,2,15839.79,5,2,2,9,Potential Loyalists
CUST00125,163,3,23006.85,3,3,2,8,Potential Loyalists
CUST00126,21,4,76255.74,5,4,5,14,Champions
CUST00127,360,1,3577.48,1,1,1,3,Needs Attention
CUST00128,312,1,27445.15,1,1,3,5,At Risk
CUST00129,389,3,47191.34,1,3,4,8,Potential Loyalists
CUST00131,130,3,46697.76,3,3,4,10,Loyal Customers
CUST00133,162,3,25007.299999999996,3,3,3,9,Potential Loyalists
CUST00134,247,3,25639.66,2,3,3,8,Potential Loyalists
CUST00135,141,6,51826.75,3,5,4,12,Loyal Customers
CUST00136,16,3,165457.19,5,3,5,13,Champions
CUST00137,398,1,14809.78,1,1,2,4,Needs Attention
CUST00138,294,1,8019.3,2,1,1,4,Needs Attention
CUST00140,182,1,6891.74,2,1,1,4,Needs Attention
CUST00141,125,1,1042.49,3,1,1,5,At Risk
CUST00142,315,2,10997.17,1,2,1,4,Needs Attention
CUST00143,54,4,63143.9,4,4,4,12,Loyal Customers
CUST00144,230,5,46218.76,2,5,4,11,Loyal Customers
CUST00145,167,2,17610.190000000002,3,2,2,7,Potential Loyalists
CUST00146,68,1,11413.5,4,1,2,7,Potential Loyalists
CUST00147,5,4,90302.64,5,4,5,14,Champions
CUST00148,37,7,109110.75,5,5,5,15,Champions
CUST00149,250,3,34167.149999999994,2,3,3,8,Potential Loyalists
CUST00150,381,2,24596.05,1,2,3,6,At Risk
CUST00151,47,1,8745.62,5,1,1,7,Potential Loyalists
CUST00152,351,1,38335.82,1,1,3,5,At Risk
CUST00155,106,2,16688.0,3,2,2,7,Potential Loyalists
CUST00157,163,1,11510.51,3,1,2,6,At Risk
CUST00158,165,4,25413.64,3,4,3,10,Loyal Customers
CUST00159,463,1,1281.0,1,1,1,3,Needs Attention
CUST00160,534,1,2421.72,1,1,1,3,Needs Attention
CUST00161,337,3,34514.55,1,3,3,7,Potential Loyalists
CUST00162,53,3,40679.770000000004,4,3,4,11,Loyal Customers
CUST00163,156,5,85559.15,3,5,5,13,Champions
CUST00164,102,5,43537.950000000004,3,5,4,12,Loyal Customers
CUST00165,15,4,26993.590000000004,5,4,3,12,Loyal Customers
CUST00166,155,4,26904.72,3,4,3,10,Loyal Customers
CUST00167,47,4,78702.47,5,4,5,14,Champions
CUST00168,473,1,5924.06,1,1,1,3,Needs Attention
CUST00170,60,4,17244.64,4,4,2,10,Loyal Customers
CUST00171,10,4,85459.54999999999,5,4,5,14,Champions
CUST00172,81,4,25396.3,4,4,3,11,Loyal Customers
CUST00173,161,1,9564.46,3,1,1,5,At Risk
CUST00175,29,4,103647.5,5,4,5,14,Champions
CUST00176,13,1,3584.5,5,1,1,7,Potential Loyalists
CUST00177,216,2,16736.57,2,2,2,6,At Risk
CUST00178,203,3,26251.47,2,3,3,8,Potential Loyalists
CUST00179,91,1,3428.45,4,1,1,6,At Risk
CUST00180,203,2,19155.289999999997,2,2,2,6,At Risk
CUST00181,77,3,8665.0,4,3,1,8,Potential Loyalists
CUST00182,50,2,9659.630000000001,4,2,1,7,Potential Loyalists
CUST00183,308,1,37125.9,1,1,3,5,At Risk
CUST00184,122,2,72432.05,3,2,5,10,Loyal Customers
CUST00185,168,4,26873.87,3,4,3,10,Loyal Customers
CUST00187,155,4,48637.62,3,4,4,11,Loyal Customers
CUST00188,27,6,69051.0,5,5,5,15,Champions
CUST00189,127,4,26506.26,3,4,3,10,Loyal Customers
CUST00190,67,3,77017.68000000001,4,3,5,12,Loyal Customers
CUST00191,30,2,18476.3,5,2,2,9,Potential Loyalists
CUST00192,248,4,41196.43,2,4,4,10,Loyal Customers
CUST00194,121,2,19678.57,3,2,2,7,Potential Loyalists
CUST00196,104,4,68925.54,3,4,5,12,Loyal Customers
CUST00197,8,1,48340.67,5,1,4,10,Loyal Customers
CUST00198,17,2,25912.82,5,2,3,10,Loyal Customers
CUST00199,275,3,28663.08,2,3,3,8,Potential Loyalists
CUST00200,39,2,58875.41,5,2,4,11,Loyal Customers
CUST00201,26,6,129090.95999999999,5,5,5,15,Champions
CUST00202,169,4,58097.119999999995,3,4,4,11,Loyal Customers
CUST00203,127,5,104102.20999999999,3,5,5,13,Champions
CUST00204,42,2,3281.5699999999997,5,2,1,8,Potential Loyalists
CUST00205,229,1,2414.58,2,1,1,4,Needs Attention
CUST00206,2,4,11166.83,5,4,1,10,Loyal Customers
CUST00208,43,3,17742.350000000002,5,3,2,10,Loyal Customers
CUST00210,74,2,26536.58,4,2,3,9,Potential Loyalists
